Latitude,Longitude,ObjectID
33.001,94.001,7442
33.001,94.004,57342
33.001,94.007,128625
33.001,94.01,46712
33.001,94.013,67179
33.001,94.016,13656
33.001,94.019,36351
33.001,94.022,33938
33.001,94.025,51071
33.001,94.028,87743
33.001,94.031,26733
33.001,94.034,214470
33.001,94.037,8108
33.001,94.04,104181
33.001,94.043,59678
33.001,94.046,264
33.001,94.049,266
33.001,94.052,75056
33.001,94.055,79419
33.001,94.058,90648
33.001,94.061,37714
33.001,94.064,127300
33.001,94.067,81446
33.001,94.07,4040
33.001,94.073,7613
33.001,94.076,7614
33.001,94.079,7612
33.001,94.082,33977
33.001,94.085,62606
33.001,94.088,81662
33.001,94.091,152261
33.001,94.094,142325
33.001,94.097,72739
33.001,94.1,160233
33.001,94.103,61704
33.001,94.106,190969
33.001,94.109,194763
33.001,94.112,33754
33.001,94.115,33250
33.001,94.118,76512
33.001,94.121,135090
33.001,94.124,38432
33.001,94.127,36196
33.001,94.13,128373
33.001,94.133,63635
33.001,94.136,95221
33.001,94.139,59649
33.001,94.142,58297
33.001,94.145,31615
33.001,94.148,32987
33.001,94.151,140973
33.001,94.154,38549
33.001,94.157,75013
33.001,94.16,66985
33.001,94.163,97435
33.001,94.166,15888
33.001,94.169,67969
33.001,94.172,72137
33.001,94.175,79608
33.001,94.178,7135
33.001,94.181,86871
33.001,94.184,136019
33.001,94.187,73556
33.001,94.19,137422
33.001,94.193,62421
33.001,94.196,60238
33.001,94.199,76821
33.001,94.202,68360
33.001,94.205,94672
33.001,94.208,196390
33.001,94.211,79
33.001,94.214,51544
33.001,94.217,76912
33.001,94.22,94689
33.001,94.223,94705
33.001,94.226,143469
33.001,94.229,94709
33.001,94.232,94668
33.001,94.235,94683
33.001,94.238,143476
33.001,94.241,63444
33.001,94.244,133194
33.001,94.247,5661
33.001,94.25,79543
33.001,94.253,159963
33.001,94.256,58984
33.001,94.259,104214
33.001,94.262,37529
33.001,94.265,118189
33.001,94.268,46858
33.001,94.271,46977
33.001,94.274,93880
33.001,94.277,90663
33.001,94.28,50033
33.001,94.283,74946
33.001,94.286,47995
33.001,94.289,117126
33.001,94.292,117121
33.001,94.295,117125
33.001,94.298,117124
33.001,94.301,79678
33.001,94.304,76576
33.001,94.307,80863
33.001,94.31,36337
33.001,94.313,200074
33.001,94.316,54680
33.001,94.319,57963
33.001,94.322,142778
33.001,94.325,51121
33.001,94.328,53444
33.001,94.331,54129
33.001,94.334,6821
33.001,94.337,1676
33.001,94.34,86473
33.001,94.343,109267
33.001,94.346,196389
33.001,94.349,8020
33.001,94.352,73037
33.001,94.355,37907
33.001,94.358,77232
33.001,94.361,88843
33.001,94.364,203523
